"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US21135","Lewis County, Kentucky","13565","*****","13543","40","13279","18","54","31","111","94","15","22","0","18","0","18","84","75","0","18","84","75","22","40","0","18","0","18","0","18","0","18","0","18","0","18","22","40","0","18","22","40",
"0500000US21137","Lincoln County, Kentucky","24413","*****","24028","*****","23031","31","531","51","39","47","4","9","5","8","13","23","405","75","4","8","401","74","385","*****","132","91","0","21","0","21","0","21","0","21","69","68","184","122","184","122","0","21",
"0500000US21139","Livingston County, Kentucky","9288","*****","9133","*****","8897","16","14","18","17","28","17","26","2","9","0","16","186","53","0","16","186","53","155","*****","147","10","3","4","0","16","0","16","0","16","1","5","4","6","4","6","0","16",
"0500000US21141","Logan County, Kentucky","26847","*****","26122","*****","23840","21","1685","244","48","56","38","48","1","4","42","76","468","224","0","21","468","224","725","*****","454","141","0","21","0","21","0","21","0","21","187","129","84","96","43","69","41","69",
"0500000US21143","Lyon County, Kentucky","8268","*****","8166","76","7527","16","440","121","43","45","41","11","0","16","0","16","115","87","6","11","109","86","102","76","63","73","5","8","0","16","0","16","0","16","22","23","12","16","12","16","0","16",
"0500000US21145","McCracken County, Kentucky","65285","*****","63747","*****","54551","30","7247","253","158","97","487","128","32","49","25","31","1247","307","4","8","1243","307","1538","*****","1135","164","0","27","4","9","0","27","0","27","249","127","150","107","78","71","72","60",
"0500000US21147","McCreary County, Kentucky","17748","*****","17148","218","15925","18","951","211","53","68","43","91","0","18","28","51","148","176","23","43","125","170","600","218","173","146","31","48","84","80","0","18","0","18","80","67","232","234","232","234","0","18",
"0500000US21149","McLean County, Kentucky","9361","*****","9240","*****","9011","30","31","30","16","23","53","45","0","16","0","16","129","52","24","30","105","43","121","*****","112","14","0","16","0","16","0","16","0","16","9","14","0","16","0","16","0","16",
"0500000US21151","Madison County, Kentucky","88376","*****","86337","*****","79374","117","3826","250","232","116","783","158","41","53","166","114","1915","324","105","75","1810","323","2039","*****","1625","166","17","24","0","27","0","27","0","27","303","138","94","62","55","43","39","38",
"0500000US21153","Magoffin County, Kentucky","12783","*****","12658","*****","12651","5","3","5","4","6","0","18","0","18","0","18","0","18","0","18","0","18","125","*****","125","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"0500000US21155","Marion County, Kentucky","19335","*****","18842","*****","16956","18","1638","129","1","2","54","58","0","18","11","18","182","99","5","10","177","99","493","*****","286","111","6","12","0","18","0","18","0","18","171","123","30","39","30","39","0","18",
"0500000US21157","Marshall County, Kentucky","31177","*****","30725","*****","30162","24","178","72","39","40","128","24","0","24","0","24","218","68","0","24","218","68","452","*****","320","72","0","24","0","24","0","24","0","24","37","33","95","55","95","55","0","24",
"0500000US21159","Martin County, Kentucky","12175","*****","11949","111","11250","328","575","206","9","17","0","18","8","15","0","18","107","107","8","14","99","103","226","111","147","92","31","40","0","18","0","18","0","18","8","13","40","53","0","18","40","53",
"0500000US21161","Mason County, Kentucky","17167","*****","17041","113","15347","24","1003","224","5","9","116","20","0","18","16","24","554","236","7","12","547","238","126","113","126","113","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"0500000US21163","Meade County, Kentucky","28452","*****","27368","*****","25460","21","899","102","220","87","168","103","0","21","0","21","621","150","0","21","621","150","1084","*****","738","113","47","61","0","21","0","21","0","21","123","85","176","75","34","35","142","76",
"0500000US21165","Menifee County, Kentucky","6381","*****","6326","64","6240","66","4","6","0","16","21","33","0","16","0","16","61","63","0","16","61","63","55","64","54","64","0","16","0","16","0","16","0","16","1","3","0","16","0","16","0","16",
"0500000US21167","Mercer County, Kentucky","21378","*****","20808","*****","19487","21","870","107","22","31","142","34","0","21","0","21","287","103","11","23","276","97","570","*****","265","172","7","11","24","36","0","21","0","21","274","184","0","21","0","21","0","21",
"0500000US21169","Metcalfe County, Kentucky","9990","*****","9842","79","9505","16","71","41","17","28","49","59","0","16","0","16","200","87","0","16","200","87","148","79","117","63","0","16","0","16","0","16","0","16","31","46","0","16","0","16","0","16",
"0500000US21171","Monroe County, Kentucky","10645","*****","10327","*****","9959","18","264","68","3","7","20","32","8","15","0","18","73","54","0","18","73","54","318","*****","242","47","10","18","0","18","0","18","0","18","66","41","0","18","0","18","0","18",
"0500000US21173","Montgomery County, Kentucky","27550","*****","26819","*****","25613","14","779","101","82","50","7","12","28","34","9","14","301","111","0","21","301","111","731","*****","410","197","10","19","0","21","0","21","0","21","244","173","67","105","0","21","67","105",
"0500000US21175","Morgan County, Kentucky","13281","*****","13121","100","12378","13","438","105","7","18","87","83","0","18","15","13","196","84","0","18","196","84","160","100","110","99","0","18","0","18","0","18","0","18","22","24","28","34","0","18","28","34",
"0500000US21177","Muhlenberg County, Kentucky","31153","*****","30690","*****","28706","7","1516","106","76","50","71","46","7","13","4","7","310","119","0","24","310","119","463","*****","139","146","0","24","0","24","0","24","0","24","94","93","230","113","230","113","0","24",
"0500000US21179","Nelson County, Kentucky","45131","*****","44202","*****","40873","39","2371","158","50","52","165","100","0","24","25","30","718","196","10","15","708","197","929","*****","510","307","15","31","0","24","0","24","0","24","342","292","62","98","62","98","0","24",
"0500000US21181","Nicholas County, Kentucky","7061","*****","6952","48","6779","16","79","41","16","18","0","16","0","16","0","16","78","49","0","16","78","49","109","48","42","38","14","24","0","16","0","16","0","16","48","46","5","11","5","11","0","16",
"0500000US21183","Ohio County, Kentucky","24062","*****","23239","*****","22723","21","215","69","8","13","72","74","0","21","0","21","221","64","0","21","221","64","823","*****","439","304","274","360","0","21","0","21","0","21","110","122","0","21","0","21","0","21",
"0500000US21185","Oldham County, Kentucky","64633","*****","62168","*****","57190","41","2341","266","127","64","932","109","35","38","69","50","1474","280","25","21","1449","279","2465","*****","1666","276","64","42","0","27","0","27","0","27","507","231","228","137","43","36","185","128",
"0500000US21187","Owen County, Kentucky","10686","*****","10410","*****","10143","18","191","72","27","38","0","18","10","19","0","18","39","55","0","18","39","55","276","*****","98","114","0","18","0","18","0","18","0","18","178","114","0","18","0","18","0","18",
"0500000US21189","Owsley County, Kentucky","4497","*****","4474","36","4238","77","184","86","15","25","0","11","0","11","23","43","14","20","0","11","14","20","23","36","23","36","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"0500000US21191","Pendleton County, Kentucky","14530","*****","14437","74","14034","18","128","80","16","23","60","49","0","18","0","18","199","115","0","18","199","115","93","74","79","61","0","18","0","18","0","18","0","18","0","18","14","21","14","21","0","18",
"0500000US21193","Perry County, Kentucky","27329","*****","27063","*****","26135","21","429","198","36","45","237","267","34","34","0","21","192","147","0","21","192","147","266","*****","168","86","0","21","0","21","0","21","63","83","35","50","0","21","0","21","0","21",
"0500000US21195","Pike County, Kentucky","61586","*****","61034","*****","59725","52","507","162","70","63","322","55","0","27","45","52","365","196","14","22","351","197","552","*****","313","89","6","12","16","24","0","27","0","27","148","107","69","74","69","74","0","27",
"0500000US21197","Powell County, Kentucky","12349","*****","12157","*****","11890","18","32","43","0","18","120","91","12","26","0","18","103","86","0","18","103","86","192","*****","47","51","0","18","14","25","0","18","0","18","62","62","69","76","5","8","64","77",
"0500000US21199","Pulaski County, Kentucky","63974","*****","62433","*****","60267","173","583","124","159","140","464","68","0","27","122","145","838","221","42","76","796","216","1541","*****","1149","200","49","68","0","27","0","27","0","27","274","162","69","76","22","35","47","69",
"0500000US21201","Robertson County, Kentucky","2161","*****","2113","63","2045","95","40","63","0","11","0","11","0","11","0","11","28","39","0","11","28","39","48","63","48","63","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"0500000US21203","Rockcastle County, Kentucky","16815","*****","16673","*****","16394","18","34","25","168","80","9","11","0","18","0","18","68","55","0","18","68","55","142","*****","127","28","0","18","0","18","0","18","12","22","1","6","2","16","2","16","0","18",
"0500000US21205","Rowan County, Kentucky","24392","*****","23916","222","23059","21","346","106","31","43","179","84","0","21","0","21","301","174","0","21","301","174","476","222","419","217","0","21","0","21","0","21","0","21","57","63","0","21","0","21","0","21",
"0500000US21207","Russell County, Kentucky","17731","*****","17096","*****","16667","24","91","66","27","32","83","20","115","107","15","24","98","71","0","18","98","71","635","*****","208","135","0","18","0","18","0","18","0","18","421","137","6","10","0","18","6","10",
"0500000US21209","Scott County, Kentucky","52322","*****","50067","*****","45608","47","2469","230","80","60","496","101","0","27","58","47","1356","261","3","6","1353","261","2255","*****","558","178","7","12","31","38","19","28","0","27","1432","233","208","164","123","116","85","130",
"0500000US21211","Shelby County, Kentucky","45831","*****","41658","*****","36847","104","3103","219","12","16","345","76","18","27","162","152","1171","221","12","20","1159","218","4173","*****","3131","378","71","59","6","13","0","24","0","24","879","363","86","83","86","83","0","24",
"0500000US21213","Simpson County, Kentucky","17881","*****","17482","*****","15285","18","1702","216","176","163","141","171","0","18","0","18","178","110","0","18","178","110","399","*****","45","40","7","13","0","18","0","18","0","18","241","89","106","68","106","68","0","18",
"0500000US21215","Spencer County, Kentucky","18012","*****","17657","*****","17012","23","188","100","9","14","172","147","0","18","0","18","276","133","14","23","262","127","355","*****","309","61","0","18","0","18","0","18","0","18","46","61","0","18","0","18","0","18",
"0500000US21217","Taylor County, Kentucky","25406","*****","24823","*****","22814","21","1195","219","0","21","233","174","0","21","14","21","567","205","0","21","567","205","583","*****","453","65","0","21","0","21","16","23","0","21","47","31","67","55","12","20","55","56",
"0500000US21219","Todd County, Kentucky","12377","*****","11905","*****","10642","90","961","91","8","8","7","11","0","18","59","90","228","87","0","18","228","87","472","*****","103","113","5","9","0","18","0","18","0","18","360","116","4","8","4","8","0","18",
"0500000US21221","Trigg County, Kentucky","14286","*****","14001","*****","12616","18","1252","110","0","18","58","95","0","18","0","18","75","59","0","18","75","59","285","*****","282","6","0","18","0","18","0","18","0","18","0","18","3","6","0","18","3","6",
"0500000US21223","Trimble County, Kentucky","8697","*****","8449","*****","8218","24","0","16","24","23","8","18","24","62","15","24","160","52","6","12","154","51","248","*****","242","7","0","16","0","16","0","16","0","16","6","7","0","16","0","16","0","16",
"0500000US21225","Union County, Kentucky","14915","*****","14635","*****","12327","18","1958","93","9","19","46","36","0","18","0","18","295","89","0","18","295","89","280","*****","164","73","8","16","0","18","0","18","0","18","24","29","84","64","47","62","37","50",
"0500000US21227","Warren County, Kentucky","123824","*****","117507","*****","98587","130","11429","355","452","102","4132","239","296","39","267","143","2344","463","11","17","2333","466","6317","*****","2943","718","121","113","0","27","0","27","0","27","2735","764","518","247","387","214","131","110",
"0500000US21229","Washington County, Kentucky","11999","*****","11483","*****","10528","18","627","106","0","18","91","98","0","18","0","18","237","100","0","18","237","100","516","*****","180","102","0","18","0","18","0","18","0","18","239","94","97","78","97","78","0","18",
"0500000US21231","Wayne County, Kentucky","20692","*****","20054","*****","19356","21","283","136","16","27","40","56","0","21","0","21","359","132","0","21","359","132","638","*****","474","221","24","39","0","21","0","21","0","21","137","225","3","6","3","6","0","21",
"0500000US21233","Webster County, Kentucky","13180","*****","12499","*****","11683","15","517","65","15","16","3","5","6","10","12","15","263","70","0","18","263","70","681","*****","272","149","27","35","0","18","0","18","0","18","284","157","98","82","98","82","0","18",
"0500000US21235","Whitley County, Kentucky","36027","*****","35603","*****","34612","31","434","167","106","111","31","26","16","27","0","24","404","152","37","33","367","149","424","*****","278","136","0","24","4","7","0","24","0","24","137","137","5","8","0","24","5","8",
"0500000US21237","Wolfe County, Kentucky","7251","*****","7231","29","7122","60","24","24","31","29","0","16","0","16","12","19","42","37","0","16","42","37","20","29","18","28","0","16","0","16","0","16","0","16","2","4","0","16","0","16","0","16",
"0500000US21239","Woodford County, Kentucky","25817","*****","24123","*****","22324","17","1147","167","11","17","81","38","6","8","11","17","543","171","0","21","543","171","1694","*****","1130","312","0","21","0","21","0","21","0","21","499","297","65","70","46","51","19","32",
