"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US21055","Crittenden County, Kentucky","9154","*****","9065","*****","8820","7","123","67","0","16","0","16","0","16","5","7","117","67","0","16","117","67","89","*****","76","9","0","16","0","16","0","16","0","16","13","9","0","16","0","16","0","16",
"0500000US21057","Cumberland County, Kentucky","6744","*****","6717","32","6269","125","200","75","0","16","21","24","0","16","92","125","135","94","0","16","135","94","27","32","7","12","0","16","0","16","0","16","0","16","0","16","20","30","20","30","0","16",
"0500000US21059","Daviess County, Kentucky","99258","*****","96428","*****","88196","131","4393","321","162","56","1254","149","0","27","164","131","2259","353","12","17","2247","353","2830","*****","2424","171","74","95","26","37","23","42","0","27","139","96","144","96","102","78","42","65",
"0500000US21061","Edmonson County, Kentucky","12063","*****","11958","83","11517","4","187","91","41","41","17","21","0","18","1","4","195","102","0","18","195","102","105","83","48","47","0","18","6","10","0","18","0","18","0","18","51","59","21","34","30","39",
"0500000US21063","Elliott County, Kentucky","7533","*****","7512","18","7236","220","263","219","5","10","0","16","0","16","0","16","8","13","0","16","8","13","21","18","10","13","0","16","0","16","0","16","0","16","11","13","0","16","0","16","0","16",
"0500000US21065","Estill County, Kentucky","14382","*****","14346","39","14030","9","19","14","53","46","0","18","3","5","0","18","241","65","7","9","234","63","36","39","25","30","0","18","4","7","0","18","0","18","7","14","0","18","0","18","0","18",
"0500000US21067","Fayette County, Kentucky","315109","*****","293166","*****","226106","550","45132","703","686","182","11208","458","157","29","1035","574","8842","841","200","79","8642","844","21943","*****","12142","1123","548","220","345","346","16","20","6","11","7595","1133","1291","387","795","309","496","230",
"0500000US21069","Fleming County, Kentucky","14515","*****","14339","*****","13943","18","254","85","6","10","10","20","0","18","15","27","111","72","0","18","111","72","176","*****","32","60","0","18","0","18","0","18","0","18","111","38","33","40","33","40","0","18",
"0500000US21071","Floyd County, Kentucky","37447","*****","37167","*****","36423","24","323","97","31","25","115","110","0","24","0","24","275","102","0","24","275","102","280","*****","185","71","12","21","0","24","0","24","0","24","37","50","46","50","33","40","13","22",
"0500000US21073","Franklin County, Kentucky","49969","*****","48448","*****","40941","92","4881","305","127","80","907","68","9","17","104","92","1479","347","19","25","1460","349","1521","*****","399","162","105","142","16","19","5","9","0","24","721","227","275","153","265","151","10","17",
"0500000US21075","Fulton County, Kentucky","6259","*****","6215","32","4456","16","1526","129","7","11","11","14","0","16","4","10","211","118","4","12","207","114","44","32","4","6","0","16","1","2","0","16","0","16","24","26","15","14","3","4","12","13",
"0500000US21077","Gallatin County, Kentucky","8652","*****","8200","*****","7896","16","131","55","0","16","12","18","0","16","0","16","161","57","0","16","161","57","452","*****","248","122","0","16","0","16","0","16","0","16","204","122","0","16","0","16","0","16",
"0500000US21079","Garrard County, Kentucky","17226","*****","16842","*****","16240","18","161","53","30","44","25","24","0","18","0","18","386","76","0","18","386","76","384","*****","328","47","0","18","0","18","0","18","0","18","33","38","23","28","13","23","10","17",
"0500000US21081","Grant County, Kentucky","24800","*****","24142","*****","23282","223","214","131","29","37","32","52","0","21","191","225","394","137","12","14","382","136","658","*****","249","182","0","21","3","7","0","21","0","21","406","181","0","21","0","21","0","21",
"0500000US21083","Graves County, Kentucky","37259","*****","34986","*****","32453","4","1661","163","57","40","176","30","84","74","2","4","553","148","0","24","553","148","2273","*****","1273","322","81","98","0","24","0","24","0","24","691","339","228","181","94","70","134","166",
